Command: /tmp/cpu_v_build_kid/simv -l vlogs/sim_soc_bus.log +vcs+flush+all
Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Mar  6 18:11 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file '/tmp/cpu_v_build_kid/soc_peripheral_bus.fsdb'
*Verdi* : Begin traversing the scope (soc_peripheral_bus_tb), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the MDAs under scope (soc_peripheral_bus_tb), layer (0).
*Verdi* : Enable +mda and +packedmda dumping.
*Verdi* : End of traversing the MDAs.
Time=665000: CPU READ REQUEST - addr=0x00000018, ready=0
Time=665000: FLASH READ - addr=0x00000018, data=0x93
Time=675000: CPU READ REQUEST - addr=0x00000018, ready=0
Time=675000: FLASH READ - addr=0x00000019, data=0x02
Time=685000: CPU READ REQUEST - addr=0x00000018, ready=0
Time=685000: FLASH READ - addr=0x0000001a, data=0x10
Time=695000: CPU READ REQUEST - addr=0x00000018, ready=0
Time=695000: FLASH READ - addr=0x0000001b, data=0x00
Time=705000: CPU READ REQUEST - addr=0x00000018, ready=1
Time=705000: FLASH READ - addr=0x0000001c, data=0x33
Time=715000: CPU READ REQUEST - addr=0x0000001c, ready=1
Time=715000: FLASH READ - addr=0x0000001c, data=0x33
Time=725000: CPU READ REQUEST - addr=0x0000001c, ready=1
Time=735000: CPU READ REQUEST - addr=0x0000001c, ready=0
Time=745000: CPU READ REQUEST - addr=0x0000001c, ready=0
Time=745000: FLASH READ - addr=0x0000001c, data=0x33
Time=755000: CPU READ REQUEST - addr=0x0000001c, ready=0
Time=755000: FLASH READ - addr=0x0000001d, data=0x94
Time=765000: CPU READ REQUEST - addr=0x0000001c, ready=0
Time=765000: FLASH READ - addr=0x0000001e, data=0x51
Time=775000: CPU READ REQUEST - addr=0x0000001c, ready=0
Time=775000: FLASH READ - addr=0x0000001f, data=0x00
Time=785000: CPU READ REQUEST - addr=0x0000001c, ready=1
Time=785000: FLASH READ - addr=0x00000020, data=0xb3
Time=795000: CPU READ REQUEST - addr=0x0000001c, ready=1
Time=795000: FLASH READ - addr=0x00000020, data=0xb3
Time=805000: CPU READ REQUEST - addr=0x0000001c, ready=1
Time=865000: WB COMMIT - rd=x6, data=0x00000000
Time=875000: WB COMMIT - rd=x7, data=0x0000000d
Time=885000: WB COMMIT - rd=x5, data=0x00000001
Time=895000: WB COMMIT - rd=x8, data=0x00000008
Time=905000: CPU READ REQUEST - addr=0x00000020, ready=0
Time=915000: CPU READ REQUEST - addr=0x00000020, ready=0
Time=925000: CPU READ REQUEST - addr=0x00000020, ready=0
Time=925000: FLASH READ - addr=0x00000020, data=0xb3
Time=935000: CPU READ REQUEST - addr=0x00000020, ready=0
Time=935000: FLASH READ - addr=0x00000021, data=0x54
Time=945000: CPU READ REQUEST - addr=0x00000020, ready=0
Time=945000: FLASH READ - addr=0x00000022, data=0x52
Time=955000: CPU READ REQUEST - addr=0x00000020, ready=0
Time=955000: FLASH READ - addr=0x00000023, data=0x00
Time=965000: CPU READ REQUEST - addr=0x00000020, ready=1
Time=965000: FLASH READ - addr=0x00000024, data=0x13
Time=975000: CPU READ REQUEST - addr=0x00000024, ready=1
Time=975000: FLASH READ - addr=0x00000024, data=0x13
Time=985000: CPU READ REQUEST - addr=0x00000024, ready=1
Time=995000: CPU READ REQUEST - addr=0x00000024, ready=0
Time=1005000: CPU READ REQUEST - addr=0x00000024, ready=0
Time=1005000: FLASH READ - addr=0x00000024, data=0x13
Time=1015000: CPU READ REQUEST - addr=0x00000024, ready=0
Time=1015000: FLASH READ - addr=0x00000025, data=0xe5
Time=1025000: CPU READ REQUEST - addr=0x00000024, ready=0
Time=1025000: FLASH READ - addr=0x00000026, data=0x81
Time=1035000: CPU READ REQUEST - addr=0x00000024, ready=0
