Command: /tmp/cpu_v_build_kid/simv -l vlogs/sim_pipeline_full.log +vcs+flush+all
Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Mar  4 12:18 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* : Create FSDB file '/tmp/cpu_v_build_kid/pipeline_full.fsdb'
*Verdi* : Begin traversing the scope (cpu_pipeline_full_tb), layer (0).
Time=1125000: PC=0x000000b8, inst=0x0000006f
Time=1135000: PC=0x000000b8, inst=0x0000006f
Time=1145000: PC=0x000000b8, inst=0x00000013
Time=1155000: PC=0x000000b8, inst=0x0000006f
Time=1165000: PC=0x000000b8, inst=0x0000006f
Time=1175000: PC=0x000000b8, inst=0x00000013
Time=1185000: PC=0x000000b8, inst=0x0000006f
Time=1195000: PC=0x000000b8, inst=0x0000006f
Time=1205000: PC=0x000000b8, inst=0x00000013
Time=1215000: PC=0x000000b8, inst=0x0000006f
Time=1225000: PC=0x000000b8, inst=0x0000006f
Time=1235000: PC=0x000000b8, inst=0x00000013
Time=1245000: PC=0x000000b8, inst=0x0000006f
Time=1255000: PC=0x000000b8, inst=0x0000006f
Time=1265000: PC=0x000000b8, inst=0x00000013
Time=1275000: PC=0x000000b8, inst=0x0000006f
Time=1285000: PC=0x000000b8, inst=0x0000006f
Time=1295000: PC=0x000000b8, inst=0x00000013
Time=1305000: PC=0x000000b8, inst=0x0000006f
Time=1315000: PC=0x000000b8, inst=0x0000006f
Time=1325000: PC=0x000000b8, inst=0x00000013
Time=1335000: PC=0x000000b8, inst=0x0000006f
Time=1345000: PC=0x000000b8, inst=0x0000006f
Time=1355000: PC=0x000000b8, inst=0x00000013
Time=1365000: PC=0x000000b8, inst=0x0000006f
Time=1375000: PC=0x000000b8, inst=0x0000006f
Time=1385000: PC=0x000000b8, inst=0x00000013
Time=1395000: PC=0x000000b8, inst=0x0000006f
Time=1405000: PC=0x000000b8, inst=0x0000006f
Time=1415000: PC=0x000000b8, inst=0x00000013
Time=1425000: PC=0x000000b8, inst=0x0000006f
Time=1435000: PC=0x000000b8, inst=0x0000006f
Time=1445000: PC=0x000000b8, inst=0x00000013
Time=1455000: PC=0x000000b8, inst=0x0000006f
Time=1465000: PC=0x000000b8, inst=0x0000006f
Time=1475000: PC=0x000000b8, inst=0x00000013
Time=1485000: PC=0x000000b8, inst=0x0000006f
Time=1495000: PC=0x000000b8, inst=0x0000006f
Time=1505000: PC=0x000000b8, inst=0x00000013
Time=1515000: PC=0x000000b8, inst=0x0000006f
Time=1525000: PC=0x000000b8, inst=0x0000006f
Time=1535000: PC=0x000000b8, inst=0x00000013
Time=1545000: PC=0x000000b8, inst=0x0000006f
Time=1555000: PC=0x000000b8, inst=0x0000006f
Time=1565000: PC=0x000000b8, inst=0x00000013
Time=1575000: PC=0x000000b8, inst=0x0000006f
Time=1585000: PC=0x000000b8, inst=0x0000006f
Time=1595000: PC=0x000000b8, inst=0x00000013
Time=1605000: PC=0x000000b8, inst=0x0000006f
Time=1615000: PC=0x000000b8, inst=0x0000006f
Time=1625000: PC=0x000000b8, inst=0x00000013
Time=1635000: PC=0x000000b8, inst=0x0000006f
Time=1645000: PC=0x000000b8, inst=0x0000006f
Time=1655000: PC=0x000000b8, inst=0x00000013
Time=1665000: PC=0x000000b8, inst=0x0000006f
Time=1675000: PC=0x000000b8, inst=0x0000006f
Time=1685000: PC=0x000000b8, inst=0x00000013
Time=1695000: PC=0x000000b8, inst=0x0000006f
Time=1705000: PC=0x000000b8, inst=0x0000006f
Time=1715000: PC=0x000000b8, inst=0x00000013
Time=1725000: PC=0x000000b8, inst=0x0000006f
